States,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MISSOURI,6.0,11.0,6.0,40.0,34.0,24.0,48.0,38.0,39.0,39.0,43.0,22.0,16.0,26.0,30.0,40.0,76.0,32.0,26.0,38.0,44.0,14.0,87.0,20.0,21.0,15.0,22.0,10.0,11.0,15.0,37.0,93.0,23.0,43.0,15.0,21.0,6.0,20.0,13.0,33.0,19.0,24.0,23.0,34.0,35.0,29.0,12.0,24.0,47.0,28.0,42.0,30.0,109.0,80.0,40.0,143.0,45.0,108.0,50.0,70.0,93.0,37.0,52.0,51.0,51.0,20.0,91.0,50.0,81.0
MONTANA,0.0,2.0,5.0,4.0,3.0,0.0,1.0,4.0,3.0,3.0,2.0,10.0,3.0,6.0,9.0,2.0,0.0,1.0,2.0,1.0,8.0,4.0,2.0,0.0,10.0,2.0,6.0,13.0,5.0,7.0,3.0,3.0,4.0,5.0,2.0,4.0,1.0,20.0,6.0,6.0,30.0,9.0,5.0,6.0,15.0,8.0,9.0,11.0,22.0,10.0,11.0,12.0,6.0,7.0,11.0,1.0,5.0,2.0,4.0,10.0,9.0,2.0,6.0,8.0,3.0,6.0,1.0,10.0,4.0
NEBRASKA,9.0,11.0,49.0,19.0,34.0,36.0,55.0,55.0,45.0,43.0,12.0,44.0,17.0,46.0,48.0,10.0,41.0,21.0,20.0,14.0,52.0,30.0,19.0,36.0,80.0,26.0,75.0,51.0,22.0,51.0,19.0,37.0,16.0,52.0,55.0,57.0,26.0,23.0,41.0,103.0,67.0,77.0,21.0,54.0,26.0,60.0,31.0,67.0,106.0,65.0,70.0,29.0,82.0,116.0,40.0,23.0,51.0,66.0,41.0,38.0,56.0,47.0,51.0,74.0,29.0,46.0,35.0,33.0,36.0
NEVADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,8.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,1.0,0.0,2.0,4.0,1.0
NEW HAMPSHIRE,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,4.0,2.0,9.0,1.0,3.0,4.0,1.0,4.0,2.0,4.0,0.0,8.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,0.0
NEW JERSEY,1.0,4.0,0.0,0.0,1.0,4.0,1.0,4.0,0.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,8.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,9.0,6.0,17.0,8.0,1.0,4.0,2.0,7.0,4.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,9.0
NEW MEXICO,2.0,0.0,0.0,8.0,1.0,4.0,17.0,7.0,16.0,6.0,11.0,12.0,8.0,11.0,14.0,16.0,8.0,2.0,10.0,11.0,12.0,18.0,2.0,6.0,3.0,2.0,8.0,3.0,13.0,3.0,8.0,7.0,3.0,1.0,5.0,2.0,15.0,10.0,17.0,16.0,31.0,24.0,2.0,13.0,12.0,16.0,11.0,7.0,8.0,5.0,5.0,3.0,7.0,11.0,7.0,5.0,25.0,11.0,4.0,12.0,2.0,6.0,2.0,14.0,6.0,9.0,13.0,11.0,19.0
NEW YORK,0.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,3.0,1.0,5.0,1.0,2.0,2.0,9.0,4.0,5.0,6.0,6.0,5.0,4.0,8.0,5.0,8.0,3.0,4.0,3.0,3.0,10.0,6.0,8.0,10.0,6.0,6.0,18.0,16.0,10.0,25.0,11.0,12.0,6.0,11.0,6.0,23.0,1.0,5.0,3.0,14.0,18.0,9.0,4.0,9.0,4.0,2.0,11.0,14.0,23.0,10.0,8.0,12.0,2.0,2.0,12.0,13.0,4.0
NORTH CAROLINA,4.0,7.0,5.0,9.0,6.0,10.0,13.0,4.0,11.0,10.0,8.0,3.0,11.0,15.0,11.0,8.0,8.0,6.0,10.0,2.0,5.0,4.0,41.0,23.0,38.0,23.0,31.0,15.0,12.0,14.0,12.0,13.0,16.0,35.0,8.0,17.0,4.0,24.0,26.0,18.0,29.0,41.0,11.0,13.0,26.0,57.0,11.0,66.0,38.0,24.0,13.0,11.0,36.0,70.0,23.0,31.0,14.0,65.0,34.0,28.0,82.0,24.0,10.0,37.0,9.0,17.0,41.0,38.0,51.0
NORTH DAKOTA,2.0,11.0,10.0,4.0,12.0,14.0,13.0,9.0,11.0,16.0,2.0,9.0,5.0,11.0,43.0,29.0,16.0,7.0,7.0,12.0,16.0,9.0,10.0,26.0,17.0,52.0,33.0,35.0,25.0,31.0,15.0,19.0,26.0,15.0,32.0,30.0,22.0,28.0,12.0,25.0,17.0,16.0,5.0,25.0,13.0,25.0,31.0,28.0,65.0,36.0,50.0,18.0,32.0,50.0,57.0,25.0,45.0,35.0,31.0,66.0,62.0,9.0,16.0,15.0,32.0,23.0,33.0,29.0,15.0
OHIO,3.0,2.0,8.0,13.0,6.0,10.0,4.0,12.0,10.0,7.0,20.0,4.0,19.0,9.0,39.0,3.0,6.0,20.0,21.0,23.0,15.0,10.0,55.0,25.0,12.0,12.0,24.0,22.0,4.0,37.0,27.0,10.0,10.0,2.0,27.0,27.0,6.0,0.0,19.0,32.0,9.0,63.0,5.0,9.0,8.0,10.0,15.0,26.0,22.0,27.0,9.0,34.0,13.0,9.0,4.0,37.0,13.0,15.0,13.0,51.0,40.0,15.0,37.0,21.0,7.0,25.0,44.0,19.0,58.0
OKLAHOMA,45.0,25.0,56.0,61.0,77.0,56.0,118.0,44.0,72.0,112.0,87.0,67.0,34.0,58.0,81.0,37.0,52.0,56.0,31.0,58.0,41.0,33.0,85.0,55.0,34.0,31.0,57.0,23.0,59.0,28.0,85.0,105.0,96.0,60.0,37.0,50.0,23.0,18.0,20.0,40.0,79.0,72.0,51.0,24.0,79.0,80.0,59.0,95.0,171.0,46.0,70.0,23.0,88.0,65.0,28.0,28.0,58.0,85.0,39.0,123.0,143.0,71.0,96.0,16.0,129.0,71.0,97.0,54.0,171.0
OREGON,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,2.0,4.0,4.0,14.0,3.0,1.0,3.0,4.0,2.0,2.0,7.0,1.0,4.0,2.0,0.0,5.0,2.0,1.0,0.0,3.0,0.0,1.0,4.0,3.0,3.0,4.0
PENNSYLVANIA,4.0,7.0,6.0,22.0,3.0,6.0,8.0,2.0,0.0,3.0,7.0,4.0,4.0,6.0,4.0,4.0,3.0,5.0,2.0,12.0,4.0,3.0,12.0,7.0,15.0,24.0,13.0,18.0,14.0,20.0,17.0,4.0,21.0,11.0,53.0,7.0,6.0,6.0,14.0,19.0,22.0,31.0,6.0,22.0,6.0,32.0,14.0,62.0,9.0,6.0,14.0,18.0,9.0,26.0,11.0,8.0,7.0,5.0,8.0,20.0,32.0,12.0,9.0,10.0,12.0,9.0,29.0,33.0,37.0
RHODE ISLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
SOUTH CAROLINA,1.0,3.0,4.0,1.0,7.0,6.0,9.0,5.0,4.0,4.0,13.0,10.0,11.0,21.0,19.0,10.0,11.0,8.0,11.0,1.0,4.0,6.0,28.0,11.0,12.0,14.0,12.0,8.0,8.0,11.0,11.0,9.0,13.0,20.0,9.0,1.0,2.0,2.0,20.0,14.0,10.0,14.0,11.0,40.0,52.0,24.0,18.0,44.0,18.0,21.0,14.0,14.0,20.0,89.0,14.0,40.0,19.0,64.0,19.0,25.0,20.0,11.0,10.0,7.0,8.0,5.0,49.0,18.0,25.0
SOUTH DAKOTA,2.0,5.0,12.0,16.0,14.0,12.0,20.0,1.0,11.0,9.0,14.0,39.0,9.0,33.0,64.0,30.0,27.0,21.0,30.0,31.0,47.0,31.0,28.0,14.0,32.0,4.0,28.0,28.0,32.0,53.0,20.0,33.0,26.0,34.0,60.0,35.0,34.0,5.0,5.0,12.0,34.0,42.0,22.0,34.0,10.0,46.0,30.0,30.0,45.0,18.0,32.0,13.0,86.0,35.0,19.0,30.0,45.0,27.0,34.0,42.0,19.0,11.0,14.0,30.0,27.0,13.0,15.0,19.0,26.0
TENNESSEE,1.0,26.0,17.0,2.0,16.0,9.0,18.0,2.0,3.0,2.0,3.0,1.0,14.0,7.0,12.0,6.0,15.0,14.0,2.0,17.0,20.0,12.0,24.0,57.0,13.0,11.0,15.0,9.0,7.0,18.0,8.0,8.0,6.0,33.0,10.0,7.0,1.0,14.0,13.0,10.0,9.0,8.0,12.0,27.0,36.0,19.0,38.0,39.0,25.0,27.0,14.0,31.0,47.0,18.0,24.0,32.0,10.0,56.0,46.0,39.0,125.0,33.0,54.0,20.0,26.0,12.0,40.0,32.0,24.0
TEXAS,15.0,13.0,33.0,84.0,110.0,56.0,154.0,75.0,87.0,77.0,126.0,143.0,82.0,78.0,110.0,77.0,232.0,139.0,131.0,136.0,193.0,145.0,152.0,118.0,117.0,186.0,127.0,141.0,169.0,170.0,183.0,230.0,190.0,94.0,94.0,138.0,135.0,92.0,166.0,163.0,200.0,203.0,113.0,183.0,229.0,138.0,196.0,123.0,179.0,154.0,142.0,183.0,167.0,185.0,109.0,117.0,216.0,124.0,132.0,113.0,110.0,121.0,84.0,47.0,258.0,106.0,186.0,58.0,183.0
UTAH,0.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,4.0,3.0,1.0,6.0,4.0,5.0,4.0,5.0,0.0,2.0,3.0,1.0,7.0,3.0,5.0,5.0,4.0,2.0,0.0,4.0,2.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0
VERMONT,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VIRGINIA,5.0,3.0,6.0,5.0,1.0,4.0,4.0,1.0,12.0,5.0,4.0,8.0,1.0,2.0,3.0,6.0,3.0,2.0,7.0,4.0,2.0,2.0,6.0,11.0,24.0,9.0,12.0,6.0,11.0,6.0,5.0,1.0,14.0,6.0,4.0,8.0,5.0,6.0,9.0,17.0,2.0,5.0,25.0,2.0,10.0,26.0,11.0,15.0,13.0,12.0,18.0,8.0,32.0,94.0,24.0,18.0,2.0,47.0,17.0,10.0,60.0,11.0,5.0,14.0,7.0,14.0,31.0,33.0,25.0
WASHINGTON,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,14.0,0.0,2.0,3.0,2.0,0.0,2.0,9.0,4.0,2.0,0.0,3.0,6.0,2.0,2.0,0.0,2.0,3.0,2.0,4.0,2.0,1.0,2.0
WEST VIRGINIA,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,8.0,5.0,1.0,2.0,3.0,4.0,7.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,5.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,17.0,1.0,4.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,4.0,0.0,10.0,3.0,8.0,4.0,1.0,2.0
WISCONSIN,7.0,1.0,9.0,13.0,9.0,7.0,13.0,21.0,32.0,11.0,10.0,9.0,10.0,37.0,23.0,24.0,33.0,22.0,30.0,31.0,38.0,23.0,19.0,18.0,8.0,16.0,23.0,13.0,32.0,47.0,22.0,18.0,33.0,43.0,21.0,14.0,16.0,37.0,17.0,10.0,13.0,27.0,5.0,27.0,6.0,23.0,15.0,25.0,11.0,21.0,15.0,26.0,16.0,43.0,70.0,16.0,21.0,45.0,17.0,53.0,51.0,4.0,24.0,23.0,21.0,16.0,28.0,35.0,32.0
WYOMING,0.0,1.0,7.0,2.0,4.0,2.0,3.0,13.0,4.0,7.0,4.0,18.0,2.0,7.0,8.0,4.0,8.0,9.0,6.0,0.0,7.0,4.0,6.0,10.0,9.0,24.0,13.0,21.0,42.0,15.0,4.0,16.0,4.0,19.0,7.0,10.0,13.0,13.0,10.0,29.0,23.0,10.0,6.0,7.0,8.0,6.0,26.0,16.0,21.0,5.0,17.0,9.0,4.0,6.0,7.0,1.0,5.0,19.0,11.0,20.0,7.0,4.0,8.0,13.0,8.0,2.0,11.0,24.0,22.0
